중위, 03-, 1중대, 공병, 팔굽혀 펴기, 46, 윗몸 일으키기, 83, 턱걸이, 11, 사격, 14 
하사, 03-, 2중대, 보병, 팔굽혀 펴기, 102, 윗몸 일으키기, 56, 턱걸이, 20, 사격, 1 
대위, 13-, 2중대, 보병, 팔굽혀 펴기, 48, 윗몸 일으키기, 42, 턱걸이, 0, 사격, 5 
하사, 17-, 3중대, 수색대, 팔굽혀 펴기, 115, 윗몸 일으키기, 3, 턱걸이, 5, 사격, 2 
상사, 03-, 1중대, 저격수, 팔굽혀 펴기, 118, 윗몸 일으키기, 3, 턱걸이, 2, 사격, 11 
상병, 92-, 1중대, 전차대대, 팔굽혀 펴기, 96, 윗몸 일으키기, 5, 턱걸이, 19, 사격, 15 
이병, 92-, 1중대, 공병, 팔굽혀 펴기, 9, 윗몸 일으키기, 90, 턱걸이, 0, 사격, 1 
이병, 08-, 1중대, 수색대, 팔굽혀 펴기, 29, 윗몸 일으키기, 86, 턱걸이, 15, 사격, 11 
상사, 92-, 1중대, 포병, 팔굽혀 펴기, 93, 윗몸 일으키기, 15, 턱걸이, 4, 사격, 4 
상사, 92-, 1중대, 운전병, 팔굽혀 펴기, 91, 윗몸 일으키기, 83, 턱걸이, 10, 사격, 18 
소위, 18-, 3중대, 보병, 팔굽혀 펴기, 51, 윗몸 일으키기, 56, 턱걸이, 19, 사격, 13 
이병, 92-, 2중대, 공병, 팔굽혀 펴기, 94, 윗몸 일으키기, 37, 턱걸이, 2, 사격, 19 
하사, 92-, 1중대, 의무병, 팔굽혀 펴기, 19, 윗몸 일으키기, 52, 턱걸이, 3, 사격, 16 
하사, 92-, 2중대, 공병, 팔굽혀 펴기, 24, 윗몸 일으키기, 69, 턱걸이, 18, 사격, 18 
상사, 10-, 2중대, 전차대대, 팔굽혀 펴기, 51, 윗몸 일으키기, 93, 턱걸이, 1, 사격, 13 
상병, 08-, 1중대, 저격수, 팔굽혀 펴기, 71, 윗몸 일으키기, 88, 턱걸이, 5, 사격, 13 
하사, 92-, 3중대, 보병, 팔굽혀 펴기, 99, 윗몸 일으키기, 50, 턱걸이, 9, 사격, 19 
대위, 92-, 3중대, 전차대대, 팔굽혀 펴기, 85, 윗몸 일으키기, 38, 턱걸이, 13, 사격, 13 
상병, 10-, 2중대, 포병, 팔굽혀 펴기, 68, 윗몸 일으키기, 96, 턱걸이, 18, 사격, 15 
이병, 03-, 3중대, 보병, 팔굽혀 펴기, 62, 윗몸 일으키기, 0, 턱걸이, 1, 사격, 7 
중사, 03-, 2중대, 공병, 팔굽혀 펴기, 7, 윗몸 일으키기, 93, 턱걸이, 12, 사격, 5 
